iter	Passed	Remaining
0	110	10971
1	154	7565
2	196	6341
3	238	5719
4	277	5280
5	319	5004
6	377	5019
7	465	5354
8	510	5157
9	567	5104
10	614	4972
11	652	4786
12	694	4646
13	751	4618
14	803	4552
15	841	4418
16	882	4309
17	942	4293
18	990	4222
19	1031	4127
20	1069	4024
21	1126	3992
22	1177	3940
23	1217	3856
24	1261	3784
25	1314	3740
26	1363	3686
27	1403	3609
28	1449	3548
29	1507	3517
30	1558	3468
31	1600	3400
32	1642	3333
33	1695	3290
34	1743	3238
35	1783	3171
36	1825	3107
37	1873	3056
38	1931	3020
39	1975	2963
40	2015	2900
41	2058	2842
42	2118	2808
43	2163	2753
44	2210	2701
45	2262	2655
46	2322	2618
47	2367	2565
48	2407	2506
49	2449	2449
50	2514	2416
51	2556	2359
52	2595	2302
53	2635	2245
54	2696	2206
55	2749	2160
56	2802	2114
57	2846	2061
58	2906	2019
59	2950	1967
60	2995	1915
61	3038	1862
62	3102	1821
63	3167	1781
64	3218	1732
65	3265	1682
66	3312	1631
67	3347	1575
68	3382	1519
69	3420	1465
70	3471	1418
71	3517	1367
72	3554	1314
73	3596	1263
74	3658	1219
75	3696	1167
76	3733	1115
77	3768	1062
78	3808	1012
79	3880	970
80	3928	921
81	3970	871
82	4012	821
83	4069	775
84	4108	724
85	4142	674
86	4179	624
87	4226	576
88	4286	529
89	4343	482
90	4389	434
91	4446	386
92	4498	338
93	4546	290
94	4590	241
95	4646	193
96	4688	145
97	4738	96
98	4787	48
99	4843	0
