iter	Passed	Remaining
0	35	3532
1	67	3283
2	109	3547
3	144	3470
4	174	3307
5	215	3372
6	249	3315
7	283	3264
8	313	3169
9	347	3124
10	379	3068
11	411	3020
12	447	2994
13	488	2998
14	524	2974
15	566	2972
16	596	2910
17	633	2887
18	666	2841
19	703	2812
20	733	2757
21	770	2733
22	801	2683
23	836	2649
24	868	2605
25	902	2568
26	936	2533
27	970	2496
28	1002	2455
29	1036	2417
30	1073	2388
31	1106	2350
32	1139	2313
33	1171	2273
34	1204	2237
35	1237	2200
36	1269	2161
37	1304	2128
38	1335	2089
39	1370	2055
40	1400	2015
41	1438	1986
42	1475	1955
43	1508	1920
44	1538	1880
45	1575	1849
46	1607	1812
47	1641	1778
48	1673	1741
49	1707	1707
50	1745	1677
51	1781	1644
52	1816	1611
53	1857	1581
54	1893	1549
55	1932	1518
56	1971	1487
57	2006	1453
58	2048	1423
59	2081	1387
60	2116	1353
61	2150	1318
62	2186	1284
63	2218	1247
64	2257	1215
65	2287	1178
66	2322	1144
67	2357	1109
68	2395	1076
69	2431	1041
70	2462	1005
71	2499	971
72	2533	936
73	2604	915
74	2638	879
75	2671	843
76	2719	812
77	2825	796
78	2892	768
79	2961	740
80	3011	706
81	3060	671
82	3103	635
83	3160	601
84	3209	566
85	3250	529
86	3286	491
87	3330	454
88	3368	416
89	3403	378
90	3443	340
91	3474	302
92	3512	264
93	3545	226
94	3581	188
95	3615	150
96	3659	113
97	3696	75
98	3732	37
99	3771	0
