iter	Passed	Remaining
0	35	3538
1	65	3224
2	96	3128
3	132	3173
4	163	3115
5	201	3156
6	231	3071
7	265	3057
8	301	3046
9	334	3009
10	370	2998
11	407	2985
12	444	2977
13	479	2947
14	514	2917
15	552	2898
16	583	2849
17	616	2809
18	648	2764
19	680	2723
20	714	2687
21	747	2648
22	779	2608
23	811	2570
24	847	2541
25	880	2507
26	918	2483
27	954	2455
28	989	2422
29	1019	2377
30	1048	2334
31	1081	2297
32	1109	2253
33	1140	2213
34	1172	2176
35	1201	2135
36	1232	2098
37	1264	2062
38	1291	2020
39	1322	1983
40	1349	1942
41	1380	1907
42	1415	1876
43	1445	1840
44	1478	1806
45	1516	1779
46	1547	1744
47	1586	1718
48	1619	1685
49	1647	1647
50	1675	1609
51	1708	1576
52	1740	1543
53	1769	1507
54	1801	1473
55	1832	1440
56	1864	1406
57	1893	1370
58	1926	1338
59	1953	1302
60	1983	1268
61	2014	1234
62	2047	1202
63	2080	1170
64	2112	1137
65	2150	1107
66	2179	1073
67	2211	1040
68	2240	1006
69	2271	973
70	2304	941
71	2332	907
72	2362	873
73	2395	841
74	2430	810
75	2457	775
76	2486	742
77	2520	710
78	2548	677
79	2576	644
80	2607	611
81	2638	579
82	2669	546
83	2702	514
84	2735	482
85	2769	450
86	2797	418
87	2825	385
88	2855	352
89	2887	320
90	2919	288
91	2954	256
92	2989	224
93	3018	192
94	3050	160
95	3085	128
96	3114	96
97	3149	64
98	3181	32
99	3213	0
